symbol,security_id,LotSize,secondary_id,underlying
GODREJCP,10099,500,,
ADANIENSOL,10217,675,,
FEDERALBNK,1023,5000,,
SYNGENE,10243,1000,,
LUPIN,10440,425,,
UNITDSPR,10447,400,,
BHARTIARTL,10604,475,,
PNB,10666,8000,,
OFSS,10738,75,,
UNIONBANK,10753,4425,,
CANBK,10794,6750,,
DIVISLAB,10940,100,,
MARUTI,10999,50,,
IDFCFIRSTB,11184,9275,,
INDIGO,11195,150,,
UPL,11287,1355,,
PETRONET,11351,1900,,
BIOCON,11373,2500,,
LT,11483,175,,
ULTRACEMCO,11532,50,,
TCS,11536,175,,
COFORGE,11543,375,,
PPLPHARMA,11571,2625,,
NTPC,11630,1500,,
ALKEM,11703,125,,
JSWSTEEL,11723,675,,
AMBER,1185,100,,
YESBANK,11915,31100,,
SUZLON,12018,9025,,
KAYNES,12092,100,,
GRASIM,1232,250,,
AMBUJACEM,1270,1050,,
ABB,13,125,,
360ONE,13061,500,,
KEI,13310,175,,
HDFCBANK,1333,550,,
SOLARINDS,13332,50,,
KFINTECH,13359,500,,
HEROMOTOCO,1348,150,,
GMRAIRPORT,13528,6975,,
TECHM,13538,600,,
IRCTC,13611,875,,
HINDALCO,1363,700,,
NAUKRI,13751,375,,
TORNTPOWER,13786,425,,
HINDUNILVR,1394,300,,
HINDPETRO,1406,2025,,
UNOMINDA,14154,550,,
HINDZINC,1424,1225,,
PFC,14299,1300,,
INDIANB,14309,1000,,
PAGEIND,14413,15,,
ASTRAL,14418,425,,
PHOENIXLTD,14552,350,,
FORTIS,14592,775,,
DLF,14732,825,,
POWERGRID,14977,1900,,
ADANIPORTS,15083,475,,
INDHOTEL,1512,1000,,
COLPAL,15141,225,,
NMDC,15332,6750,,
RECLTD,15355,1400,,
MANKIND,15380,225,,
APOLLOHOSP,157,125,,
INFY,1594,400,,
IOC,1624,4875,,
ITC,1660,1600,,
BAJAJ-AUTO,16669,75,,
BAJAJFINSV,16675,250,,
PATANJALI,17029,900,,
CROMPTON,17094,1800,,
NHPC,17400,6400,,
OIL,17438,1400,,
JSWENERGY,17869,1000,,
GODREJPROP,17875,275,,
NESTLEIND,17963,500,,
SBICARD,17971,800,,
JUBLFOOD,18096,1250,,
JIOFIN,18143,2350,,
PERSISTENT,18365,100,,
RBLBANK,18391,3175,,
POWERINDIA,18457,50,,
ICICIPRULI,18652,925,,
