symbol,security_id,LotSize,underlying,secondary_id
GODREJCP,10099,500,NSE_EQ,
ADANIENSOL,10217,675,NSE_EQ,
FEDERALBNK,1023,5000,NSE_EQ,
SYNGENE,10243,1000,NSE_EQ,
LUPIN,10440,425,NSE_EQ,
UNITDSPR,10447,400,NSE_EQ,
PNB,10666,8000,NSE_EQ,
OFSS,10738,75,NSE_EQ,
UNIONBANK,10753,4425,NSE_EQ,
CANBK,10794,6750,NSE_EQ,
DIVISLAB,10940,100,NSE_EQ,
IDFCFIRSTB,11184,9275,NSE_EQ,
UPL,11287,1355,NSE_EQ,
PETRONET,11351,1900,NSE_EQ,
BIOCON,11373,2500,NSE_EQ,
COFORGE,11543,375,NSE_EQ,
PPLPHARMA,11571,2625,NSE_EQ,
ALKEM,11703,125,NSE_EQ,
AMBER,1185,100,NSE_EQ,
YESBANK,11915,31100,NSE_EQ,
SUZLON,12018,9025,NSE_EQ,
KAYNES,12092,100,NSE_EQ,
AMBUJACEM,1270,1050,NSE_EQ,
ABB,13,125,NSE_EQ,
360ONE,13061,500,NSE_EQ,
KEI,13310,175,NSE_EQ,
SOLARINDS,13332,50,NSE_EQ,
KFINTECH,13359,500,NSE_EQ,
HEROMOTOCO,1348,150,NSE_EQ,
GMRAIRPORT,13528,6975,NSE_EQ,
IRCTC,13611,875,NSE_EQ,
NAUKRI,13751,375,NSE_EQ,
TORNTPOWER,13786,425,NSE_EQ,
HINDPETRO,1406,2025,NSE_EQ,
UNOMINDA,14154,550,NSE_EQ,
HINDZINC,1424,1225,NSE_EQ,
PFC,14299,1300,NSE_EQ,
INDIANB,14309,1000,NSE_EQ,
PAGEIND,14413,15,NSE_EQ,
ASTRAL,14418,425,NSE_EQ,
PHOENIXLTD,14552,350,NSE_EQ,
FORTIS,14592,775,NSE_EQ,
DLF,14732,825,NSE_EQ,
INDHOTEL,1512,1000,NSE_EQ,
COLPAL,15141,225,NSE_EQ,
NMDC,15332,6750,NSE_EQ,
RECLTD,15355,1400,NSE_EQ,
MANKIND,15380,225,NSE_EQ,
IOC,1624,4875,NSE_EQ,
PATANJALI,17029,900,NSE_EQ,
CROMPTON,17094,1800,NSE_EQ,
NHPC,17400,6400,NSE_EQ,
OIL,17438,1400,NSE_EQ,
JSWENERGY,17869,1000,NSE_EQ,
GODREJPROP,17875,275,NSE_EQ,
SBICARD,17971,800,NSE_EQ,
JUBLFOOD,18096,1250,NSE_EQ,
PERSISTENT,18365,100,NSE_EQ,
RBLBANK,18391,3175,NSE_EQ,
POWERINDIA,18457,50,NSE_EQ,
ICICIPRULI,18652,925,NSE_EQ,
NUVAMA,18721,500,NSE_EQ,
PNBHOUSING,18908,650,NSE_EQ,
VBL,18921,1125,NSE_EQ,
CUMMINSIND,1901,200,NSE_EQ,
MANAPPURAM,19061,3000,NSE_EQ,
LAURUSLABS,19234,850,NSE_EQ,
CHOLAFIN,19257,625,NSE_EQ,
BSE,19585,375,NSE_EQ,
DMART,19913,150,NSE_EQ,
LICHSGFIN,1997,1000,NSE_EQ,
OBEROIRLTY,20242,350,NSE_EQ,
IREDA,20261,3450,NSE_EQ,
IRFC,2029,4250,NSE_EQ,
TATATECH,20293,800,NSE_EQ,
PRESTIGE,20302,450,NSE_EQ,
HUDCO,20825,2775,NSE_EQ,
CDSL,21174,475,NSE_EQ,
ASHOKLEY,212,5000,NSE_EQ,
AUBANK,21238,1000,NSE_EQ,
MFSL,2142,400,NSE_EQ,
BDL,2144,350,NSE_EQ,
ABCAPITAL,21614,3100,NSE_EQ,
DIXON,21690,50,NSE_EQ,
ICICIGI,21770,325,NSE_EQ,
BOSCHLTD,2181,25,NSE_EQ,
IEX,220,3750,NSE_EQ,
BANDHANBNK,2263,3600,NSE_EQ,
HAL,2303,150,NSE_EQ,
MUTHOOTFIN,23650,275,NSE_EQ,
PIIND,24184,175,NSE_EQ,
LTF,24948,2250,NSE_EQ,
PREMIERENE,25049,575,NSE_EQ,
PGEL,25358,950,NSE_EQ,
MOTHERSON,25510,6150,NSE_EQ,
APLAPOLLO,25780,350,NSE_EQ,
WAAREEENER,25907,175,NSE_EQ,
PIDILITIND,2664,500,NSE_EQ,
SWIGGY,27066,1300,NSE_EQ,
AUROPHARMA,275,550,NSE_EQ,
INDUSTOWER,29135,1700,NSE_EQ,
KALYANKJIL,2955,1175,NSE_EQ,
SAIL,2963,4700,NSE_EQ,
SAMMAANCAP,30125,4300,NSE_EQ,
BAJAJHLDNG,305,50,NSE_EQ,
VEDL,3063,1150,NSE_EQ,
SHREECEM,3103,25,NSE_EQ,
MCX,31181,625,NSE_EQ,
TIINDIA,312,200,NSE_EQ,
NBCC,31415,6500,NSE_EQ,
SIEMENS,3150,175,NSE_EQ,
LODHA,3220,450,NSE_EQ,
ANGELONE,324,2500,NSE_EQ,
SRF,3273,200,NSE_EQ,
SUPREMEIND,3363,175,NSE_EQ,
TATAELXSI,3411,100,NSE_EQ,
CAMS,342,750,NSE_EQ,
TATAPOWER,3426,1450,NSE_EQ,
TORNTPHARM,3518,250,NSE_EQ,
ADANIGREEN,3563,600,NSE_EQ,
VOLTAS,3718,375,NSE_EQ,
MARICO,4067,1200,NSE_EQ,
BHARATFORG,422,500,NSE_EQ,
HDFCAMC,4244,300,NSE_EQ,
BHEL,438,2625,NSE_EQ,
MPHASIS,4503,275,NSE_EQ,
BANKBARODA,4668,2925,NSE_EQ,
SONACOMS,4684,1225,NSE_EQ,
GAIL,4717,3150,NSE_EQ,
BANKINDIA,4745,5200,NSE_EQ,
CONCOR,4749,1250,NSE_EQ,
MAZDOCK,509,200,NSE_EQ,
INDUSINDBK,5258,700,NSE_EQ,
BPCL,526,1975,NSE_EQ,
BRITANNIA,547,125,NSE_EQ,
NATIONALUM,6364,3750,NSE_EQ,
NYKAA,6545,3125,NSE_EQ,
POLICYBZR,6656,350,NSE_EQ,
PAYTM,6705,725,NSE_EQ,
JINDALSTEL,6733,625,NSE_EQ,
EXIDEIND,676,1800,NSE_EQ,
GLENMARK,7406,375,NSE_EQ,
CGPOWER,760,850,NSE_EQ,
DABUR,772,1250,NSE_EQ,
INOXWIND,7852,3575,NSE_EQ,
ZYDUSLIFE,7929,900,NSE_EQ,
DALBHARAT,8075,325,NSE_EQ,
BLUESTARCO,8311,325,NSE_EQ,
TVSMOTOR,8479,175,NSE_EQ,
LICI,9480,700,NSE_EQ,
RVNL,9552,1525,NSE_EQ,
POLYCAB,9590,125,NSE_EQ,
DELHIVERY,9599,2075,NSE_EQ,
KPITTECH,9683,425,NSE_EQ,
HAVELLS,9819,500,NSE_EQ,
NIFTY,13,65,NSE_EQ,
BANKNIFTY,25,30,NSE_EQ,
