symbol,security_id,LotSize,secondary_id,underlying
GODREJCP,10099,500.0,,NSE_EQ
ADANIENSOL,10217,1.0,,NSE_EQ
FEDERALBNK,1023,1.0,,NSE_EQ
SYNGENE,10243,1000.0,,NSE_EQ
LUPIN,10440,425.0,,NSE_EQ
UNITDSPR,10447,400.0,,NSE_EQ
BHARTIARTL,10604,1.0,,NSE_EQ
PNB,10666,1.0,,NSE_EQ
OFSS,10738,75.0,,NSE_EQ
UNIONBANK,10753,1.0,,NSE_EQ
CANBK,10794,1.0,,NSE_EQ
DIVISLAB,10940,100.0,,NSE_EQ
MARUTI,10999,50.0,,NSE_EQ
IDFCFIRSTB,11184,1.0,,NSE_EQ
INDIGO,11195,150.0,,NSE_EQ
UPL,11287,1.0,,NSE_EQ
PETRONET,11351,1.0,,NSE_EQ
BIOCON,11373,1.0,,NSE_EQ
LT,11483,175.0,,NSE_EQ
ULTRACEMCO,11532,50.0,,NSE_EQ
TCS,11536,1.0,,NSE_EQ
COFORGE,11543,1.0,,NSE_EQ
PPLPHARMA,11571,1.0,,NSE_EQ
NTPC,11630,1.0,,NSE_EQ
ALKEM,11703,125.0,,NSE_EQ
JSWSTEEL,11723,675.0,,NSE_EQ
AMBER,1185,100.0,,NSE_EQ
YESBANK,11915,1.0,,NSE_EQ
SUZLON,12018,1.0,,NSE_EQ
KAYNES,12092,1.0,,NSE_EQ
GRASIM,1232,250.0,,NSE_EQ
AMBUJACEM,1270,1.0,,NSE_EQ
ABB,13,125.0,,NSE_EQ
360ONE,13061,500.0,,NSE_EQ
KEI,13310,175.0,,NSE_EQ
HDFCBANK,1333,1.0,,NSE_EQ
SOLARINDS,13332,50.0,,NSE_EQ
KFINTECH,13359,500.0,,NSE_EQ
HEROMOTOCO,1348,150.0,,NSE_EQ
GMRAIRPORT,13528,1.0,,NSE_EQ
TECHM,13538,1.0,,NSE_EQ
IRCTC,13611,875.0,,NSE_EQ
HINDALCO,1363,1.0,,NSE_EQ
NAUKRI,13751,1.0,,NSE_EQ
TORNTPOWER,13786,425.0,,NSE_EQ
HINDUNILVR,1394,300.0,,NSE_EQ
HINDPETRO,1406,1.0,,NSE_EQ
UNOMINDA,14154,550.0,,NSE_EQ
HINDZINC,1424,1.0,,NSE_EQ
PFC,14299,1.0,,NSE_EQ
INDIANB,14309,1.0,,NSE_EQ
PAGEIND,14413,15.0,,NSE_EQ
ASTRAL,14418,425.0,,NSE_EQ
PHOENIXLTD,14552,1.0,,NSE_EQ
FORTIS,14592,775.0,,NSE_EQ
DLF,14732,1.0,,NSE_EQ
POWERGRID,14977,1.0,,NSE_EQ
ADANIPORTS,15083,1.0,,NSE_EQ
INDHOTEL,1512,1.0,,NSE_EQ
COLPAL,15141,225.0,,NSE_EQ
NMDC,15332,1.0,,NSE_EQ
RECLTD,15355,1.0,,NSE_EQ
MANKIND,15380,225.0,,NSE_EQ
APOLLOHOSP,157,125.0,,NSE_EQ
INFY,1594,1.0,,NSE_EQ
IOC,1624,1.0,,NSE_EQ
ITC,1660,1.0,,NSE_EQ
BAJAJ-AUTO,16669,75.0,,NSE_EQ
BAJAJFINSV,16675,1.0,,NSE_EQ
PATANJALI,17029,900.0,,NSE_EQ
CROMPTON,17094,1800.0,,NSE_EQ
NHPC,17400,1.0,,NSE_EQ
OIL,17438,1.0,,NSE_EQ
JSWENERGY,17869,1.0,,NSE_EQ
GODREJPROP,17875,275.0,,NSE_EQ
NESTLEIND,17963,1.0,,NSE_EQ
SBICARD,17971,800.0,,NSE_EQ
JUBLFOOD,18096,1.0,,NSE_EQ
JIOFIN,18143,1.0,,NSE_EQ
PERSISTENT,18365,1.0,,NSE_EQ
RBLBANK,18391,1.0,,NSE_EQ
POWERINDIA,18457,50.0,,NSE_EQ
ICICIPRULI,18652,925.0,,NSE_EQ
NUVAMA,18721,500.0,,NSE_EQ
PNBHOUSING,18908,650.0,,NSE_EQ
VBL,18921,1.0,,NSE_EQ
CUMMINSIND,1901,200.0,,NSE_EQ
MANAPPURAM,19061,1.0,,NSE_EQ
KOTAKBANK,1922,1.0,,NSE_EQ
LAURUSLABS,19234,1.0,,NSE_EQ
CHOLAFIN,19257,625.0,,NSE_EQ
BSE,19585,1.0,,NSE_EQ
TRENT,1964,1.0,,NSE_EQ
DMART,19913,1.0,,NSE_EQ
LICHSGFIN,1997,1.0,,NSE_EQ
OBEROIRLTY,20242,350.0,,NSE_EQ
IREDA,20261,1.0,,NSE_EQ
IRFC,2029,1.0,,NSE_EQ
TATATECH,20293,1.0,,NSE_EQ
PRESTIGE,20302,450.0,,NSE_EQ
M&M,2031,1.0,,NSE_EQ
COALINDIA,20374,1.0,,NSE_EQ
HUDCO,20825,1.0,,NSE_EQ
CDSL,21174,1.0,,NSE_EQ
ASHOKLEY,212,1.0,,NSE_EQ
AUBANK,21238,1.0,,NSE_EQ
MFSL,2142,400.0,,NSE_EQ
BDL,2144,1.0,,NSE_EQ
ABCAPITAL,21614,1.0,,NSE_EQ
DIXON,21690,50.0,,NSE_EQ
ICICIGI,21770,325.0,,NSE_EQ
SBILIFE,21808,375.0,,NSE_EQ
BOSCHLTD,2181,25.0,,NSE_EQ
IEX,220,1.0,,NSE_EQ
MAXHEALTH,22377,1.0,,NSE_EQ
BANDHANBNK,2263,1.0,,NSE_EQ
HAL,2303,150.0,,NSE_EQ
ASIANPAINT,236,250.0,,NSE_EQ
MUTHOOTFIN,23650,1.0,,NSE_EQ
PIIND,24184,175.0,,NSE_EQ
ONGC,2475,1.0,,NSE_EQ
LTF,24948,1.0,,NSE_EQ
ADANIENT,25,1.0,,NSE_EQ
PREMIERENE,25049,575.0,,NSE_EQ
PGEL,25358,950.0,,NSE_EQ
MOTHERSON,4204,1.0,,NSE_EQ
APLAPOLLO,25780,350.0,,NSE_EQ
WAAREEENER,25907,175.0,,NSE_EQ
PIDILITIND,2664,500.0,,NSE_EQ
SWIGGY,27066,1.0,,NSE_EQ
AUROPHARMA,275,1.0,,NSE_EQ
RELIANCE,2885,1.0,,NSE_EQ
INDUSTOWER,29135,1.0,,NSE_EQ
KALYANKJIL,2955,1.0,,NSE_EQ
SAIL,2963,1.0,,NSE_EQ
SAMMAANCAP,30125,1.0,,NSE_EQ
SBIN,3045,1.0,,NSE_EQ
BAJAJHLDNG,305,50.0,,NSE_EQ
VEDL,3063,1.0,,NSE_EQ
SHREECEM,3103,25.0,,NSE_EQ
MCX,31181,1.0,,NSE_EQ
TIINDIA,312,200.0,,NSE_EQ
NBCC,31415,1.0,,NSE_EQ
SIEMENS,3150,175.0,,NSE_EQ
BAJFINANCE,317,1.0,,NSE_EQ
LODHA,3220,1.0,,NSE_EQ
ANGELONE,324,1.0,,NSE_EQ
SRF,3273,200.0,,NSE_EQ
SUNPHARMA,3351,1.0,,NSE_EQ
SUPREMEIND,3363,175.0,,NSE_EQ
TATAELXSI,3411,100.0,,NSE_EQ
CAMS,342,1.0,,NSE_EQ
TATAPOWER,3426,1.0,,NSE_EQ
TATACONSUM,3432,550.0,,NSE_EQ
TMPV,3456,1.0,,NSE_EQ
TATASTEEL,3499,1.0,,NSE_EQ
TITAN,3506,175.0,,NSE_EQ
TORNTPHARM,3518,250.0,,NSE_EQ
ADANIGREEN,3563,1.0,,NSE_EQ
VOLTAS,3718,375.0,,NSE_EQ
WIPRO,3787,1.0,,NSE_EQ
BEL,383,1.0,,NSE_EQ
MARICO,4067,1.0,,NSE_EQ
