symbol,security_id,LotSize,underlying,secondary_id
BHARTIARTL,10604,475,NSE_EQ,
MARUTI,10999,50,NSE_EQ,
INDIGO,11195,150,NSE_EQ,
LT,11483,175,NSE_EQ,
ULTRACEMCO,11532,50,NSE_EQ,
TCS,11536,175,NSE_EQ,
NTPC,11630,1500,NSE_EQ,
JSWSTEEL,11723,675,NSE_EQ,
GRASIM,1232,250,NSE_EQ,
HDFCBANK,1333,550,NSE_EQ,
TECHM,13538,600,NSE_EQ,
HINDALCO,1363,700,NSE_EQ,
HINDUNILVR,1394,300,NSE_EQ,
POWERGRID,14977,1900,NSE_EQ,
ADANIPORTS,15083,475,NSE_EQ,
APOLLOHOSP,157,125,NSE_EQ,
INFY,1594,400,NSE_EQ,
ITC,1660,1600,NSE_EQ,
BAJAJ-AUTO,16669,75,NSE_EQ,
BAJAJFINSV,16675,250,NSE_EQ,
NESTLEIND,17963,500,NSE_EQ,
JIOFIN,18143,2350,NSE_EQ,
KOTAKBANK,1922,2000,NSE_EQ,
TRENT,1964,100,NSE_EQ,
M&M,2031,200,NSE_EQ,
COALINDIA,20374,1350,NSE_EQ,
SBILIFE,21808,375,NSE_EQ,
MAXHEALTH,22377,525,NSE_EQ,
ASIANPAINT,236,250,NSE_EQ,
ONGC,2475,2250,NSE_EQ,
ADANIENT,25,309,NSE_EQ,
RELIANCE,2885,500,NSE_EQ,
SBIN,3045,750,NSE_EQ,
BAJFINANCE,317,750,NSE_EQ,
SUNPHARMA,3351,350,NSE_EQ,
TATACONSUM,3432,550,NSE_EQ,
TMPV,3456,800,NSE_EQ,
TATASTEEL,3499,5500,NSE_EQ,
TITAN,3506,175,NSE_EQ,
WIPRO,3787,3000,NSE_EQ,
BEL,383,1425,NSE_EQ,
SHRIRAMFIN,4306,825,NSE_EQ,
HDFCLIFE,467,1100,NSE_EQ,
ICICIBANK,4963,700,NSE_EQ,
ETERNAL,5097,2425,NSE_EQ,
AXISBANK,5900,625,NSE_EQ,
CIPLA,694,375,NSE_EQ,
HCLTECH,7229,350,NSE_EQ,
DRREDDY,881,625,NSE_EQ,
EICHERMOT,910,100,NSE_EQ,
