symbol,year,month,quarter,open,high,low,close,percent_change,volume,trading_days,avg_daily_volume,up_days,down_days,unchanged_days,range,volatility,avg_true_range,avg_daily_range,highest_day,lowest_day
GRMOVER,2026,6,,163,164.32,81.95,90.71,-44.3496932515337,109386884,21,5208899.23809524,8,12,0,82.37,0.762338973041344,8.47857142857143,8.36380952380953,2026-06-01T00:00:00+05:30,2026-06-11T00:00:00+05:30
AQYLON,2026,6,,66.98,66.98,38.01,41.2,-38.489101224246,89870379,21,4279541.85714286,7,13,0,28.97,0.55733995382755,3.02238095238095,2.84428571428572,2026-06-01T00:00:00+05:30,2026-06-29T00:00:00+05:30
LEMERITE,2026,6,,36.15,36.15,22.25,23.25,-35.6846473029046,35067457,21,1669878.9047619,6,14,0,13.9,0.502599951788973,1.72285714285714,1.33238095238095,2026-06-01T00:00:00+05:30,2026-06-30T00:00:00+05:30
VEDL,2026,6,,355.1,356.65,270.5,280.75,-20.937764010138,605657000,21,28840809.5238095,7,13,0,86.15,0.283079980284621,11.9547619047619,11.1238095238095,2026-06-01T00:00:00+05:30,2026-06-29T00:00:00+05:30
NATIONALUM,2026,6,,425.45,444.5,331.4,339.6,-20.1786343871195,279187916,21,13294662.6666667,9,11,0,113.1,0.298203322159027,15.3738095238095,13.2785714285714,2026-06-02T00:00:00+05:30,2026-06-25T00:00:00+05:30
EXCELSOFT,2026,6,,90.5,91.5,73.55,74.67,-17.4917127071823,10244333,21,487825.380952381,6,14,0,17.95,0.221897148508324,3.04238095238095,2.98333333333333,2026-06-01T00:00:00+05:30,2026-06-30T00:00:00+05:30
PERSISTENT,2026,6,,5238,5612,4244.5,4326.5,-17.401680030546,19258891,21,917090.047619048,9,11,0,1367.5,0.277090298583069,200.452380952381,171.642857142857,2026-06-02T00:00:00+05:30,2026-06-30T00:00:00+05:30
JAYNECOIND,2026,6,,102.34,103.55,83.75,84.95,-16.9923783466875,88604335,21,4219254.04761905,8,12,0,19.8,0.217876568051058,4.06190476190476,3.94285714285714,2026-06-01T00:00:00+05:30,2026-06-24T00:00:00+05:30
WIPRO,2026,6,,205.1,210.18,170.05,170.39,-16.9234519746465,625418348,21,29781826.0952381,8,12,0,40.13,0.216913893886628,5.08333333333333,4.30619047619047,2026-06-02T00:00:00+05:30,2026-06-30T00:00:00+05:30
SILVERCASE,2026,6,,26.99,26.99,21.5,22.54,-16.4875879955539,269145943,21,12816473.4761905,8,12,0,5.49,0.225824143537108,0.927142857142857,0.736190476190476,2026-06-01T00:00:00+05:30,2026-06-25T00:00:00+05:30
ASTRAL,2026,6,,1595,1595,1329,1335.6,-16.2633228840125,15027954,21,715616.857142857,10,10,0,266,0.175701816466148,46.4428571428572,42.252380952381,2026-06-01T00:00:00+05:30,2026-06-30T00:00:00+05:30
SUMICHEM,2026,6,,502.05,507.3,411.55,420.85,-16.1736878796933,7695693,21,366461.571428571,7,13,0,95.75,0.209495678809758,15.3857142857143,14.9642857142857,2026-06-01T00:00:00+05:30,2026-06-30T00:00:00+05:30
HINDZINC,2026,6,,635.95,639.95,516.85,533.15,-16.164792829625,91689925,21,4366186.90476191,8,12,0,123.1,0.217619328226282,17.8452380952381,15.5619047619048,2026-06-01T00:00:00+05:30,2026-06-25T00:00:00+05:30
SAIL,2026,6,,205.2,206.9,165.36,173.49,-15.453216374269,407435983,21,19401713.4761905,6,14,0,41.54,0.226084432430471,5.91666666666666,5.74619047619047,2026-06-03T00:00:00+05:30,2026-06-24T00:00:00+05:30
HINDALCO,2026,6,,1130,1161,948.8,956.6,-15.3451327433628,149763728,21,7131606.0952381,7,13,0,212.2,0.204949661728656,28.6238095238095,25.2380952380952,2026-06-02T00:00:00+05:30,2026-06-30T00:00:00+05:30
VOGL,2026,6,,38,38,30.42,32.24,-15.1578947368421,758397558,11,68945232.5454546,3,7,0,7.58,0.226459165104973,2.33545454545455,2.11363636363636,2026-06-15T00:00:00+05:30,2026-06-19T00:00:00+05:30
INFY,2026,6,,1175,1278.9,996,1000.4,-14.8595744680851,325083440,21,15480163.8095238,7,13,0,282.9,0.250844466212907,36.7428571428571,27.4809523809524,2026-06-02T00:00:00+05:30,2026-06-30T00:00:00+05:30
SILVER1,2026,6,,25.32,25.8,20.55,21.56,-14.8499210110585,220409332,21,10495682.4761905,8,12,0,5.25,0.22584808259587,0.936666666666667,0.749523809523809,2026-06-02T00:00:00+05:30,2026-06-25T00:00:00+05:30
TATSILV,2026,6,,25.4,25.65,20.01,21.64,-14.8031496062992,1504479292,21,71641871.047619,8,12,0,5.64,0.242521039375883,0.903333333333333,0.735714285714286,2026-06-02T00:00:00+05:30,2026-06-25T00:00:00+05:30
SILVER,2026,6,,260.14,263.84,212.18,222.02,-14.6536480356731,33240109,21,1582862.33333333,8,12,0,51.66,0.215972909321479,8.74238095238095,6.83571428571428,2026-06-02T00:00:00+05:30,2026-06-25T00:00:00+05:30
HDFCSILVER,2026,6,,249.76,252.89,200.39,213.25,-14.6180333119795,109978092,21,5237052,8,12,0,52.5,0.229089481000638,7.95380952380952,6.13,2026-06-02T00:00:00+05:30,2026-06-25T00:00:00+05:30
SILVERIETF,2026,6,,259.9,264.09,212.1,222.25,-14.4863409003463,98331331,21,4682444.33333333,8,12,0,51.99,0.217275100897129,8.87095238095238,7.45714285714285,2026-06-02T00:00:00+05:30,2026-06-25T00:00:00+05:30
GROWWSLVR,2026,6,,25.5,26,20.79,21.85,-14.3137254901961,62990805,21,2999562.14285714,8,11,1,5.21,0.221953990343652,0.814285714285715,0.541904761904762,2026-06-15T00:00:00+05:30,2026-06-25T00:00:00+05:30
ZENSARTECH,2026,6,,495.1,529.4,424,425.3,-14.0981619874773,17872896,21,851090.285714286,7,13,0,105.4,0.227682084462709,16.8428571428571,16.5357142857143,2026-06-02T00:00:00+05:30,2026-06-30T00:00:00+05:30
SBISILVER,2026,6,,254.36,258.88,208.26,218.5,-14.0981286365781,43612831,21,2076801.47619048,8,12,0,50.62,0.215641089098869,8.19238095238095,6.11333333333333,2026-06-02T00:00:00+05:30,2026-06-25T00:00:00+05:30
VAML,2026,6,,522,537,425,448.46,-14.088122605364,264334772,11,24030433.8181818,4,6,0,112,0.242530188315242,28.8572727272727,25.8554545454545,2026-06-15T00:00:00+05:30,2026-06-29T00:00:00+05:30
SILVERBEES,2026,6,,246.65,252.99,202.58,212.82,-13.7157916075411,660746416,21,31464115.0476191,8,12,0,50.41,0.220022114237495,7.58761904761905,5.34523809523809,2026-06-02T00:00:00+05:30,2026-06-25T00:00:00+05:30
KPITTECH,2026,6,,776.05,826,669.35,671.55,-13.4656272147413,32034526,21,1525453.61904762,8,12,0,156.65,0.208440521600284,26.952380952381,25.9190476190476,2026-06-02T00:00:00+05:30,2026-06-30T00:00:00+05:30
OIL,2026,6,,479.75,495.4,404.1,416.95,-13.0901511203752,96424155,21,4591626.42857143,9,11,0,91.3,0.207329469267702,11.8785714285714,11.2714285714286,2026-06-03T00:00:00+05:30,2026-06-25T00:00:00+05:30
JINDALSTEL,2026,6,,1219,1222.9,1054.4,1060.1,-13.0352748154225,26717683,21,1272270.61904762,7,13,0,168.5,0.148136209119681,27.9142857142858,27.4761904761905,2026-06-01T00:00:00+05:30,2026-06-30T00:00:00+05:30
GMDCLTD,2026,6,,670.95,690.25,571.75,583.95,-12.9666890230271,31738933,21,1511377.76190476,8,12,0,118.5,0.191101144994202,20.8666666666667,20.1309523809524,2026-06-01T00:00:00+05:30,2026-06-30T00:00:00+05:30
FSL,2026,6,,261.75,274.8,227.2,228.45,-12.7220630372493,27375020,21,1303572.38095238,6,14,0,47.6,0.190659660299265,8.80476190476191,8.59047619047619,2026-06-02T00:00:00+05:30,2026-06-30T00:00:00+05:30
HARDWYN,2026,6,,27.48,28.28,23.46,24.05,-12.4818049490539,91601737,21,4361987.47619048,10,10,0,4.82,0.195085284764383,1.28238095238095,1.27857142857143,2026-06-01T00:00:00+05:30,2026-06-17T00:00:00+05:30
RHETAN,2026,6,,30.03,32.41,25.5,26.32,-12.3543123543124,175744124,21,8368767.80952381,8,12,0,6.91,0.236852414063265,1.62904761904762,1.62761904761905,2026-06-12T00:00:00+05:30,2026-06-29T00:00:00+05:30
SUPREMEIND,2026,6,,3589,3685.7,3147.2,3157.8,-12.0144887155196,4214839,21,200706.619047619,11,9,0,538.5,0.153970263867331,98.604761904762,94.6809523809524,2026-06-04T00:00:00+05:30,2026-06-30T00:00:00+05:30
ONGC,2026,6,,266.55,271.15,227.65,234.9,-11.8739448508723,336214043,21,16010192.5238095,8,12,0,43.5,0.173537234042553,5.77142857142857,5.66666666666667,2026-06-04T00:00:00+05:30,2026-06-30T00:00:00+05:30
GPIL,2026,6,,290,292.5,254.9,255.65,-11.8448275862069,30101145,21,1433387.85714286,5,15,0,37.6,0.136739111611395,7.37619047619048,7.31190476190476,2026-06-01T00:00:00+05:30,2026-06-30T00:00:00+05:30
GOLDCASE,2026,6,,25,25.21,21.27,22.05,-11.8,214752726,21,10226320.2857143,8,12,0,3.94,0.169174777132576,0.740952380952381,0.685714285714286,2026-06-03T00:00:00+05:30,2026-06-29T00:00:00+05:30
UPL,2026,6,,647.25,655.6,564.1,571.2,-11.7497103128621,49358105,21,2350385.95238095,6,14,0,91.5,0.149240400149124,15.1428571428571,14.4690476190476,2026-06-01T00:00:00+05:30,2026-06-29T00:00:00+05:30
INDUSTOWER,2026,6,,443.7,446.4,386.35,391.7,-11.719630380888,132001593,21,6285790.14285714,7,13,0,60.05,0.144964105275863,9.56904761904762,9.29047619047619,2026-06-01T00:00:00+05:30,2026-06-29T00:00:00+05:30
SOLARWORLD,2026,6,,207.64,211.04,179.46,183.36,-11.6933153534964,4479052,21,213288.19047619,7,13,0,31.58,0.167400792098202,6.93904761904762,6.90857142857143,2026-06-01T00:00:00+05:30,2026-06-29T00:00:00+05:30
