symbol,year,month,quarter,open,high,low,close,percent_change,volume,trading_days,avg_daily_volume,up_days,down_days,unchanged_days,range,volatility,avg_true_range,avg_daily_range,highest_day,lowest_day,vpoc,vah,val
HITECH,2026,,2,74.85,97.17,72.38,87.99,17.555110220440884,54419535.0,60,906992.25,33,26,0,24.790000000000006,0.2813576442681467,3.590166666666668,3.356333333333334,2026-06-23T00:00:00+05:30,2026-04-01T00:00:00+05:30,86.63425000000001,93.6994,85.02289999999999
KALYANKJIL,2026,,2,385.6,452.6,327.05,386.7,0.2852697095435596,503860123.0,60,8397668.716666667,27,32,0,125.55000000000001,0.3251748251748252,14.293333333333328,13.450833333333328,2026-04-15T00:00:00+05:30,2026-06-11T00:00:00+05:30,352.78775,399.869,334.583
PETRONET,2026,,2,256.1,294.1,247.09,280.8,9.644670050761416,204273738.0,60,3404562.3,28,30,1,47.01000000000002,0.17137222331247942,7.276499999999994,6.702333333333329,2026-06-17T00:00:00+05:30,2026-04-02T00:00:00+05:30,269.88985,282.8176,263.0734
MEESHO,2026,,2,144.89,227.65,141.52,192.4,32.79039271171235,1888150986.0,60,31469183.1,25,34,0,86.13,0.4841057654656607,9.680166666666672,9.543833333333337,2026-05-05T00:00:00+05:30,2026-04-02T00:00:00+05:30,166.06705,200.0884,163.9138
MPHASIS,2026,,2,2110.0,2479.0,2063.6,2161.6,2.445497630331749,35543106.0,60,592385.1,32,27,0,415.4000000000001,0.1828594570562005,77.58166666666668,72.91833333333335,2026-04-16T00:00:00+05:30,2026-05-18T00:00:00+05:30,2269.223,2362.688,2192.374
GOLDIETF,2026,,2,127.7,140.0,117.64,120.1,-5.951448707909169,392320522.0,60,6538675.366666666,24,35,0,22.36,0.17339292314929936,3.306,2.9198333333333344,2026-05-14T00:00:00+05:30,2026-06-30T00:00:00+05:30,128.70819999999998,132.6212,122.3356
SEIL,2026,,2,178.3,224.8,172.9,216.82,21.604038137969702,23003956.0,49,469468.48979591834,23,25,0,51.900000000000006,0.2621633657854696,9.499183673469389,9.29061224489796,2026-06-25T00:00:00+05:30,2026-04-21T00:00:00+05:30,200.1475,217.01500000000001,193.66
INDUSINDBK,2026,,2,765.95,957.9,754.0,924.2,20.66061753378158,142138409.0,60,2368973.4833333334,34,24,1,203.89999999999998,0.22878215671222424,24.72166666666666,22.648333333333326,2026-05-08T00:00:00+05:30,2026-04-02T00:00:00+05:30,895.7105,951.7829999999999,878.379
ITETF,2026,,2,30.48,35.5,27.75,28.05,-7.972440944881888,44581238.0,60,743020.6333333333,28,31,0,7.75,0.251511775078158,0.9196666666666667,0.8728333333333337,2026-04-16T00:00:00+05:30,2026-06-30T00:00:00+05:30,30.73375,33.485,29.92
PRESTIGE,2026,,2,1150.0,1580.6,1090.0,1564.6,36.052173913043475,54683358.0,60,911389.3,37,22,0,490.5999999999999,0.35200084185552605,50.46666666666668,47.48333333333335,2026-06-23T00:00:00+05:30,2026-04-02T00:00:00+05:30,1342.6589999999999,1507.0099999999998,1291.146
ICICIBANK,2026,,2,1228.1,1404.0,1187.6,1375.2,11.977851966452254,1086913158.0,60,18115219.3,32,27,0,216.4000000000001,0.1671877333855259,27.911666666666665,25.554999999999996,2026-06-25T00:00:00+05:30,2026-04-02T00:00:00+05:30,1249.274,1336.916,1220.06
IRCTC,2026,,2,510.0,581.3,497.0,502.9,-1.3921568627451026,68901480.0,60,1148358.0,28,31,0,84.29999999999995,0.15814354856864135,12.310833333333335,11.566666666666666,2026-05-05T00:00:00+05:30,2026-04-02T00:00:00+05:30,519.3395,553.481,507.959
RHIM,2026,,2,345.0,426.7,333.8,367.75,6.594202898550725,28557946.0,60,475965.76666666666,29,30,0,92.89999999999998,0.23874485482136953,15.437499999999996,14.642499999999995,2026-04-22T00:00:00+05:30,2026-06-02T00:00:00+05:30,378.8565,405.33299999999997,354.238
ADANIENSOL,2026,,2,953.95,1614.8,903.15,1491.4,56.33943078777713,208298604.0,59,3530484.813559322,33,25,0,711.65,0.5195592562619565,60.938135593220345,58.60169491525425,2026-06-08T00:00:00+05:30,2026-04-02T00:00:00+05:30,1497.37775,1586.3339999999998,1308.7905
LENSKART,2026,,2,511.0,557.65,458.75,514.95,0.7729941291585216,380297530.0,60,6338292.166666667,29,30,0,98.89999999999998,0.1938816518167828,17.233333333333338,16.761666666666667,2026-04-15T00:00:00+05:30,2026-05-18T00:00:00+05:30,505.72749999999996,519.079,483.475
NBCC,2026,,2,81.1,114.29,79.29,104.93,29.383477188656,942724128.0,60,15712068.8,32,27,0,35.0,0.3588798846115723,3.365166666666666,3.1614999999999998,2026-06-18T00:00:00+05:30,2026-04-02T00:00:00+05:30,94.165,107.29,92.24000000000001
ENRIN,2026,,2,2640.0,3968.0,2521.7,3683.3,39.5189393939394,36208889.0,60,603481.4833333333,31,28,0,1446.3000000000002,0.4355017921326832,135.91000000000003,131.26000000000002,2026-05-29T00:00:00+05:30,2026-04-02T00:00:00+05:30,3165.3035,3722.129,3013.442
MBAPL,2026,,2,94.79,117.0,93.4,112.4,18.577909062137355,14360011.0,60,239333.51666666666,31,28,0,23.599999999999994,0.21744905841179257,4.1063333333333345,4.071833333333334,2026-05-08T00:00:00+05:30,2026-04-01T00:00:00+05:30,109.33000000000001,114.404,104.72800000000001
MFSL,2026,,2,1515.1,1748.0,1433.6,1584.0,4.54755461685698,45792056.0,60,763200.9333333333,27,32,0,314.4000000000001,0.19365150735894213,48.39333333333335,46.27000000000001,2026-05-26T00:00:00+05:30,2026-04-02T00:00:00+05:30,1604.9479999999999,1685.12,1565.648
VIDYAWIRES,2026,,2,51.45,117.35,50.82,99.62,93.6248785228377,412243620.0,60,6870727.0,34,25,0,66.53,0.7562647892980898,5.813166666666666,5.3935,2026-05-29T00:00:00+05:30,2026-04-02T00:00:00+05:30,89.07475,105.3746,76.7667
THOMASCOOK,2026,,2,94.0,117.0,88.0,108.09,14.989361702127663,210957015.0,60,3515950.25,28,31,0,29.0,0.28769555857580775,4.7633333333333345,4.502500000000001,2026-06-18T00:00:00+05:30,2026-05-13T00:00:00+05:30,108.155,116.13,97.57
RENUKA,2026,,2,28.0,30.3,21.05,22.13,-20.96428571428572,601475182.0,60,10024586.366666667,21,38,0,9.25,0.3663874200384211,0.9621666666666666,0.9294999999999998,2026-05-06T00:00:00+05:30,2026-06-03T00:00:00+05:30,28.21875,30.3,23.5475
CAPACITE,2026,,2,210.0,287.0,204.02,253.73,20.82380952380952,25144687.0,60,419078.11666666664,29,29,1,82.97999999999999,0.3509622772649924,11.112499999999995,10.626499999999995,2026-06-23T00:00:00+05:30,2026-04-02T00:00:00+05:30,226.0097,257.957,214.8074
ICIL,2026,,2,259.0,446.05,238.15,438.25,69.20849420849422,58121001.0,60,968683.35,33,26,0,207.9,0.6714003061507888,16.02233333333333,15.636833333333328,2026-06-30T00:00:00+05:30,2026-04-02T00:00:00+05:30,395.1145,443.971,317.15200000000004
PHOENIXLTD,2026,,2,1529.5,1969.7,1466.2,1948.6,27.401111474338013,30932606.0,60,515543.43333333335,33,26,0,503.5,0.28382160482750385,54.47999999999999,52.62666666666667,2026-06-30T00:00:00+05:30,2026-04-02T00:00:00+05:30,1780.8875,1848.8600000000001,1682.705
UNOMINDA,2026,,2,1061.0,1189.7,1003.3,1087.8,2.5259189443920786,60007814.0,60,1000130.2333333333,29,30,0,186.4000000000001,0.16941963474193206,38.42166666666669,36.873333333333356,2026-05-08T00:00:00+05:30,2026-04-02T00:00:00+05:30,1112.344,1141.236,1064.812
MSCIINDIA,2026,,2,28.0,30.24,26.62,29.49,5.321428571428566,15761618.0,60,262693.63333333336,32,27,0,3.6199999999999974,0.12399595814280079,0.6103333333333332,0.5724999999999999,2026-05-11T00:00:00+05:30,2026-04-02T00:00:00+05:30,29.1721,29.516,28.791999999999998
PIIND,2026,,2,2758.7,3194.1,2541.0,2555.1,-7.380287816725266,23282832.0,60,388047.2,29,30,0,653.0999999999999,0.22470621494520546,87.31,82.16000000000004,2026-05-19T00:00:00+05:30,2026-06-30T00:00:00+05:30,2857.7535,2965.515,2560.593
KISSHT,2026,,2,190.0,302.5,190.0,279.5,47.10526315789474,218275775.0,36,6063215.972222222,18,17,0,112.5,0.4402097354828612,17.870833333333323,17.511944444444435,2026-06-22T00:00:00+05:30,2026-05-08T00:00:00+05:30,205.1875,262.0,190.0
PNB,2026,,2,104.55,115.6,98.5,106.69,2.046867527498805,1251077254.0,60,20851287.566666666,30,29,0,17.099999999999994,0.158777567484335,2.657166666666667,2.4058333333333337,2026-04-22T00:00:00+05:30,2026-05-18T00:00:00+05:30,109.0165,111.496,103.117
ASIANTILES,2026,,2,58.99,79.06,52.07,54.1,-8.289540600101713,267941488.0,60,4465691.466666667,29,30,0,26.990000000000002,0.4276050000792154,3.0523333333333325,2.983333333333333,2026-04-21T00:00:00+05:30,2026-06-30T00:00:00+05:30,60.03205,74.2018,56.6583
DIGITIDE,2026,,2,77.64,107.0,74.0,84.89,9.33797011849562,29538567.0,60,492309.45,27,32,0,33.0,0.36689699644776996,4.877500000000001,4.816166666666667,2026-05-11T00:00:00+05:30,2026-04-02T00:00:00+05:30,86.045,97.43,83.57
SUPREMEIND,2026,,2,3779.9,3941.4,3147.2,3157.8,-16.458107357337493,15184513.0,60,253075.21666666667,27,32,0,794.2000000000003,0.22126866832498995,107.49833333333339,105.67333333333342,2026-04-08T00:00:00+05:30,2026-06-30T00:00:00+05:30,3659.459,3774.618,3512.532
