symbol,year,month,quarter,open,high,low,close,percent_change,volume,trading_days,avg_daily_volume,up_days,down_days,unchanged_days,range,volatility,avg_true_range,avg_daily_range,highest_day,lowest_day,vpoc,vah,val,high_to_ltp_pct,low_to_ltp_pct,daily_open,daily_high,daily_low,ltp,day_buy_quantity,day_sell_quantity,day_volume
GODREJCP,2026,,2,1010.0,1148.0,967.05,1010.0,0.0,97988621.0,60,1633143.6833333333,31,28,0,180.95000000000005,0.17361713559710978,28.603333333333328,26.92333333333334,2026-04-24T00:00:00+05:30,2026-04-02T00:00:00+05:30,1033.0967500000002,1064.763,986.9544999999999,-7.420230186207537,9.511556096191642,1076.8,1079.7,1067.2,1068.7,92.0,0.0,468745.0
ADANIENSOL,2026,,2,953.95,1614.8,903.15,1491.4,56.33943078777713,208298604.0,59,3530484.813559322,33,25,0,711.65,0.5195592562619565,60.938135593220345,58.60169491525425,2026-06-08T00:00:00+05:30,2026-04-02T00:00:00+05:30,1497.37775,1586.3339999999998,1308.7905,1.8119907576310323,45.08391098139365,1651.0,1667.2,1634.0,1644.6,0.0,15.0,1062085.0
FEDERALBNK,2026,,2,266.45,331.8,256.5,330.05,23.869393882529565,745257721.0,60,12420962.016666668,36,22,1,75.30000000000001,0.25389724972744543,7.394999999999993,7.154999999999993,2026-06-30T00:00:00+05:30,2026-04-02T00:00:00+05:30,292.26750000000004,298.668,281.349,0.21052631578947026,22.857142857142858,328.5,336.5,327.3,332.5,15.0,0.0,4617024.0
SYNGENE,2026,,2,395.05,518.55,380.0,439.5,11.251740286039738,131292585.0,60,2188209.75,27,32,0,138.54999999999995,0.31316514158921976,16.97833333333333,16.62666666666666,2026-04-30T00:00:00+05:30,2026-04-06T00:00:00+05:30,438.88374999999996,485.29799999999994,431.26349999999996,-23.361484477221346,9.599143570833833,418.45,422.35,416.0,420.35,3225.0,0.0,538680.0
LUPIN,2026,,2,2346.0,2494.0,2170.1,2419.0,3.111679454390452,70908865.0,60,1181814.4166666667,29,30,0,323.9000000000001,0.14055658498270715,53.08166666666672,51.42166666666674,2026-05-07T00:00:00+05:30,2026-04-02T00:00:00+05:30,2272.1285,2341.767,2241.3579999999997,-0.05616625210623811,12.938297360186152,2495.0,2509.9,2481.0,2492.6,0.0,87.0,672899.0
UNITDSPR,2026,,2,1262.5,1414.4,1210.8,1350.4,6.96237623762377,68520099.0,60,1142001.65,31,28,0,203.60000000000014,0.15713554355571918,31.631666666666682,29.850000000000016,2026-04-27T00:00:00+05:30,2026-04-07T00:00:00+05:30,1262.7179999999998,1332.96,1231.1599999999999,-2.985291976117664,11.83923110528616,1378.6,1398.7,1368.8,1373.4,1667.0,0.0,804208.0
PNB,2026,,2,104.55,115.6,98.5,106.69,2.046867527498805,1251077254.0,60,20851287.566666666,30,29,0,17.099999999999994,0.158777567484335,2.657166666666667,2.4058333333333337,2026-04-22T00:00:00+05:30,2026-05-18T00:00:00+05:30,109.0165,111.496,103.117,-8.707917998871535,7.3725785217227795,104.6,106.45,104.0,106.34,11752.0,0.0,11967457.0
OFSS,2026,,2,6950.0,11055.0,6705.0,10775.5,55.0431654676259,19992966.0,60,333216.1,36,23,0,4350.0,0.4750286882747085,316.9583333333333,302.2,2026-06-29T00:00:00+05:30,2026-04-02T00:00:00+05:30,9641.25,10489.5,8619.0,5.882853737442534,42.916737612804354,11625.0,11958.0,11549.0,11746.0,0.0,214.0,475458.0
UNIONBANK,2026,,2,171.0,197.13,156.21,172.43,0.8362573099415245,925293199.0,60,15421553.316666666,27,32,0,40.91999999999999,0.23825928650310432,5.148499999999998,4.723333333333331,2026-04-22T00:00:00+05:30,2026-05-20T00:00:00+05:30,169.50900000000001,177.8976,161.12040000000002,-15.693409237631323,8.322084629379646,163.0,170.75,162.51,170.39,5313.0,0.0,30402923.0
CANBK,2026,,2,128.02,146.89,121.79,125.52,-1.9528198718950274,1672327983.0,60,27872133.05,28,31,0,25.09999999999998,0.18780256039984725,3.8548333333333327,3.591499999999999,2026-04-22T00:00:00+05:30,2026-04-02T00:00:00+05:30,134.7165,136.599,126.308,-13.577669527565122,5.83004716616408,127.47,129.73,126.44,129.33,449.0,0.0,19225449.0
DIVISLAB,2026,,2,6002.0,6968.0,5647.5,6579.0,9.613462179273576,20720056.0,60,345334.26666666666,33,26,0,1320.5,0.20212044061898907,146.85,144.35833333333332,2026-05-15T00:00:00+05:30,2026-04-02T00:00:00+05:30,6723.7074999999995,6928.385,6466.21,-0.425163940332925,18.606327015925633,6830.0,6958.0,6786.5,6938.5,72.0,0.0,274183.0
IDFCFIRSTB,2026,,2,60.84,81.46,58.08,79.49,30.6541748849441,1598600159.0,60,26643335.983333334,37,22,0,23.379999999999995,0.33145333355386114,1.8358333333333337,1.7058333333333342,2026-06-22T00:00:00+05:30,2026-04-02T00:00:00+05:30,68.4841,74.6798,63.2236,-1.09208240258128,27.922561429635145,79.99,80.79,79.86,80.58,0.0,15754.0,13770266.0
UPL,2026,,2,573.0,682.6,564.1,571.2,-0.3141361256544423,133822968.0,60,2230382.8,27,32,0,118.5,0.1878219521859728,16.820833333333336,16.1475,2026-05-11T00:00:00+05:30,2026-06-29T00:00:00+05:30,644.0875000000001,670.75,612.6850000000001,-15.352767215885091,4.672581326573718,590.0,592.5,586.2,591.75,2.0,0.0,711085.0
PETRONET,2026,,2,256.1,294.1,247.09,280.8,9.644670050761416,204273738.0,60,3404562.3,28,30,1,47.01000000000002,0.17137222331247942,7.276499999999994,6.702333333333329,2026-06-17T00:00:00+05:30,2026-04-02T00:00:00+05:30,269.88985,282.8176,263.0734,-5.431080838860023,11.42140168488976,275.15,280.55,275.15,278.95,0.0,0.0,1054027.0
BIOCON,2026,,2,369.0,440.4,337.7,418.3,13.360433604336047,251555903.0,60,4192598.3833333333,33,26,0,102.69999999999999,0.26057502420954254,10.701666666666664,10.39083333333333,2026-05-26T00:00:00+05:30,2026-04-07T00:00:00+05:30,417.2925,440.4,366.45599999999996,-7.166321936975299,17.824552865312082,413.5,415.6,402.7,410.95,53954.0,0.0,7504642.0
COFORGE,2026,,2,1150.0,1554.0,1130.0,1465.7,27.45217391304348,238553314.0,60,3975888.566666667,32,27,0,424.0,0.31588005001434133,52.28166666666669,48.15500000000004,2026-06-02T00:00:00+05:30,2026-04-02T00:00:00+05:30,1293.24,1431.04,1146.96,-0.8501525082743792,26.666234019079766,1494.1,1547.9,1470.0,1540.9,1314.0,0.0,5131972.0
PPLPHARMA,2026,,2,140.0,196.44,136.26,168.09,20.064285714285717,426542822.0,60,7109047.033333333,27,32,0,60.18000000000001,0.36740562260437964,6.454999999999998,6.339166666666666,2026-05-07T00:00:00+05:30,2026-04-02T00:00:00+05:30,166.0491,176.5806,158.5266,-13.137130680181997,21.5227783217186,176.4,177.2,172.6,173.63,8653.0,0.0,3905313.0
ALKEM,2026,,2,5320.5,5789.0,5075.0,5570.0,4.6894088901419035,8589937.0,60,143165.61666666667,31,28,0,714.0,0.1319048770011654,145.73333333333332,142.44166666666666,2026-05-29T00:00:00+05:30,2026-04-02T00:00:00+05:30,5335.610000000001,5610.5,5296.34,-3.987785162565116,8.83779414406323,5615.5,5684.0,5548.5,5567.0,0.0,6.0,219164.0
AMBER,2026,,2,6656.0,8974.0,6120.0,7530.0,13.131009615384615,26199578.0,60,436659.63333333336,30,29,0,2854.0,0.3719006918299777,308.18333333333334,289.1,2026-05-07T00:00:00+05:30,2026-04-06T00:00:00+05:30,7846.67,8231.96,7204.52,-15.480633123150172,21.24565692961009,7779.5,7954.5,7723.0,7771.0,385.0,0.0,375180.0
YESBANK,2026,,2,17.66,25.78,17.3,24.18,36.919592298980746,7947941056.0,60,132465684.26666667,34,25,0,8.48,0.38905626328587384,0.6534999999999999,0.6171666666666664,2026-06-18T00:00:00+05:30,2026-04-02T00:00:00+05:30,19.971200000000003,24.1688,19.5896,-8.410428931875526,27.249789739276704,23.8,23.93,23.6,23.78,30780.0,0.0,51934563.0
SUZLON,2026,,2,41.39,60.45,39.77,58.9,42.30490456632036,6490366118.0,60,108172768.63333334,32,26,1,20.68,0.3871559575775919,1.8538333333333339,1.764,2026-06-19T00:00:00+05:30,2026-04-02T00:00:00+05:30,53.729,58.175200000000004,52.178000000000004,-13.691931540342301,25.20218168139928,53.6,53.63,52.92,53.17,39304.0,0.0,40685711.0
KAYNES,2026,,2,3629.5,4538.6,2995.0,3121.9,-13.985397437663588,94207605.0,60,1570126.75,31,28,0,1543.6000000000004,0.4279247019598893,153.0566666666667,139.8816666666667,2026-05-08T00:00:00+05:30,2026-05-20T00:00:00+05:30,3265.13,3874.8520000000003,2995.0,-36.72541045338155,9.775568609730382,3300.0,3332.8,3270.1,3319.5,734.0,0.0,796834.0
AMBUJACEM,2026,,2,415.0,468.8,404.8,421.85,1.6506024096385599,209289767.0,60,3488162.783333333,29,30,0,64.0,0.14671664202285573,12.757499999999997,11.804999999999998,2026-04-27T00:00:00+05:30,2026-06-11T00:00:00+05:30,440.32,453.44,422.08000000000004,-8.480851556172633,6.3288210112229475,430.0,434.45,429.4,432.15,466.0,0.0,733484.0
ABB,2026,,2,6180.0,7822.5,5916.5,7031.0,13.770226537216828,26792052.0,60,446534.2,36,23,0,1906.0,0.27564929195540827,216.44166666666666,205.925,2026-04-22T00:00:00+05:30,2026-04-02T00:00:00+05:30,7203.05,7365.0599999999995,6488.3,-14.918466284706918,13.082121345673572,6800.0,6872.0,6715.5,6807.0,3.0,0.0,297882.0
360ONE,2026,,2,966.05,1165.1,906.05,1074.6,11.236478443144762,69356083.0,60,1155934.7166666666,30,29,0,259.04999999999995,0.2410885045936023,33.75166666666667,32.19333333333334,2026-06-16T00:00:00+05:30,2026-04-07T00:00:00+05:30,1078.3182499999998,1136.6045,1038.1654999999998,-4.212880143112693,18.95796064400716,1127.0,1127.0,1094.8,1118.0,0.0,90.0,2239845.0
KEI,2026,,2,4131.2,5708.0,3953.3,5427.5,31.37829202168862,25035568.0,60,417259.4666666667,32,27,0,1754.6999999999998,0.3472356896626785,184.72666666666657,176.27333333333326,2026-06-23T00:00:00+05:30,2026-04-02T00:00:00+05:30,5225.4575,5479.889,4778.009,-11.658841940532081,22.666275430359935,5139.0,5233.0,5090.0,5112.0,0.0,0.0,323058.0
SOLARINDS,2026,,2,12420.0,18874.0,12233.0,18696.0,50.53140096618357,10504222.0,60,175070.36666666667,44,15,0,6641.0,0.4014597069301823,540.1666666666666,532.1166666666667,2026-05-29T00:00:00+05:30,2026-04-01T00:00:00+05:30,18309.515,18874.0,15619.91,-3.954615554086803,32.62282441066314,18200.0,18347.0,17940.0,18156.0,0.0,68.0,108258.0
KFINTECH,2026,,2,914.0,1006.0,784.95,879.8,-3.7417943107221054,75299746.0,60,1254995.7666666666,32,27,0,221.04999999999995,0.24953434554382786,29.253333333333337,27.677500000000002,2026-04-22T00:00:00+05:30,2026-05-18T00:00:00+05:30,892.15925,928.6325,818.1075000000001,-8.656909866609059,15.218447912728841,900.0,930.0,891.1,925.85,3209.0,0.0,1888771.0
HEROMOTOCO,2026,,2,5152.0,5484.5,4671.5,4794.3,-6.942934782608693,40630709.0,60,677178.4833333333,27,32,0,813.0,0.16123919494109548,141.04666666666665,130.19833333333332,2026-04-10T00:00:00+05:30,2026-06-30T00:00:00+05:30,5017.025,5159.3,4785.32,-10.750994527574152,5.666282991054307,4917.6,4967.0,4871.0,4952.1,16.0,0.0,508201.0
GMRAIRPORT,2026,,2,86.86,113.36,85.71,112.09,29.04674188349068,1232001321.0,60,20533355.35,33,25,1,27.650000000000006,0.27868020816185296,3.0581666666666676,2.799333333333334,2026-06-30T00:00:00+05:30,2026-04-02T00:00:00+05:30,97.18475,104.2355,90.687,1.1510289501220852,25.261597488664115,112.0,114.99,111.6,114.68,0.0,14953.0,14980179.0
IRCTC,2026,,2,510.0,581.3,497.0,502.9,-1.3921568627451026,68901480.0,60,1148358.0,28,31,0,84.29999999999995,0.15814354856864135,12.310833333333335,11.566666666666666,2026-05-05T00:00:00+05:30,2026-04-02T00:00:00+05:30,519.3395,553.481,507.959,-15.78528035056268,1.0058759087740288,500.85,504.8,496.9,502.05,1116.0,0.0,843555.0
NAUKRI,2026,,2,984.9,1080.9,908.3,978.0,-0.7005787389582675,130461482.0,60,2174358.033333333,32,27,0,172.60000000000014,0.17455442774262506,32.34916666666667,30.808333333333334,2026-04-21T00:00:00+05:30,2026-05-25T00:00:00+05:30,985.107,1025.6680000000001,949.7239999999999,9.248142395365424,23.739557533268965,1191.0,1206.75,1180.3,1191.05,0.0,18.0,1659484.0
TORNTPOWER,2026,,2,1345.0,1824.1,1285.0,1414.9,5.19702602230484,35066039.0,60,584433.9833333333,30,29,0,539.0999999999999,0.35661601762242756,52.64833333333334,51.16666666666668,2026-04-27T00:00:00+05:30,2026-04-02T00:00:00+05:30,1449.4255,1694.716,1365.865,-26.506692558429833,10.881475830501428,1414.8,1453.6,1403.2,1441.9,13.0,0.0,311359.0
HINDPETRO,2026,,2,350.0,420.0,317.75,394.45,12.699999999999998,467269048.0,60,7787817.466666667,31,28,0,102.25,0.2692726347021542,13.104166666666666,11.022499999999996,2026-06-25T00:00:00+05:30,2026-04-06T00:00:00+05:30,372.45375,401.595,361.7175,-7.252298263534213,18.858529111338104,388.25,394.15,385.55,391.6,16.0,0.0,7267087.0
UNOMINDA,2026,,2,1061.0,1189.7,1003.3,1087.8,2.5259189443920786,60007814.0,60,1000130.2333333333,29,30,0,186.4000000000001,0.16941963474193206,38.42166666666669,36.873333333333356,2026-05-08T00:00:00+05:30,2026-04-02T00:00:00+05:30,1112.344,1141.236,1064.812,-3.2456825479475913,12.930660418293849,1150.0,1171.3,1145.9,1152.3,0.0,37.0,526004.0
HINDZINC,2026,,2,520.0,678.25,503.35,533.15,2.5288461538461497,341432044.0,60,5690534.066666666,27,32,0,174.89999999999998,0.2955781575233851,18.860000000000007,16.407499999999995,2026-05-14T00:00:00+05:30,2026-04-02T00:00:00+05:30,631.9015,653.764,561.067,-27.34697709350356,5.4919263987983475,527.95,534.7,526.15,532.6,535.0,0.0,1839561.0
PFC,2026,,2,393.0,486.5,382.25,424.3,7.964376590330792,452073573.0,60,7534559.55,31,28,0,104.25,0.23785666616598253,12.276666666666666,11.65333333333333,2026-04-28T00:00:00+05:30,2026-04-02T00:00:00+05:30,431.76875,464.6075,419.78,-20.093803999012582,5.6405825722044,403.0,406.0,399.95,405.1,3426.0,0.0,4979396.0
INDIANB,2026,,2,879.35,1000.9,801.35,816.65,-7.130266674248029,186436835.0,60,3107280.5833333335,24,35,0,199.54999999999995,0.2306787519495369,26.739166666666666,25.111666666666665,2026-04-15T00:00:00+05:30,2026-05-13T00:00:00+05:30,818.3117500000001,867.2015,811.3275,-18.794136846477958,4.889917512313802,868.0,871.5,839.35,842.55,0.0,418.0,4055206.0
PAGEIND,2026,,2,32305.0,41905.0,32000.0,41370.0,28.060671722643555,1871538.0,60,31192.3,37,22,0,9905.0,0.2625968499866338,1043.9166666666667,1024.9166666666667,2026-06-25T00:00:00+05:30,2026-04-01T00:00:00+05:30,38190.625,40518.3,36754.4,-4.880490551870855,19.90989863596546,39400.0,40360.0,39300.0,39955.0,0.0,0.0,36709.0
ASTRAL,2026,,2,1622.1,1661.5,1329.0,1335.6,-17.662289624560756,48696685.0,60,811611.4166666666,29,30,0,332.5,0.21558128603152132,51.363333333333344,49.39333333333333,2026-04-15T00:00:00+05:30,2026-06-30T00:00:00+05:30,1570.0625,1614.95,1505.225,-24.84033360883612,0.14276053798182364,1333.0,1335.0,1315.1,1330.9,712.0,0.0,269697.0
PHOENIXLTD,2026,,2,1529.5,1969.7,1466.2,1948.6,27.401111474338013,30932606.0,60,515543.43333333335,33,26,0,503.5,0.28382160482750385,54.47999999999999,52.62666666666667,2026-06-30T00:00:00+05:30,2026-04-02T00:00:00+05:30,1780.8875,1848.8600000000001,1682.705,8.556174558960073,31.93129062209842,2140.3,2163.4,2113.5,2154.0,1.0,0.0,1199254.0
FORTIS,2026,,2,804.45,1010.1,766.8,956.95,18.957051401578717,92036535.0,60,1533942.25,34,24,1,243.30000000000007,0.2602524081102909,25.37833333333334,25.029166666666672,2026-06-10T00:00:00+05:30,2026-04-02T00:00:00+05:30,955.3575000000001,988.203,920.079,-4.836533471717698,20.415153087701093,961.85,969.8,954.15,963.5,100.0,0.0,1224946.0
