symbol,year,month,quarter,open,high,low,close,percent_change,volume,trading_days,avg_daily_volume,up_days,down_days,unchanged_days,range,volatility,avg_true_range,avg_daily_range,highest_day,lowest_day,vpoc,vah,val,high_to_ltp_pct,low_to_ltp_pct,daily_open,daily_high,daily_low,ltp,day_buy_quantity,day_sell_quantity,day_volume
BHARTIARTL,2026,6,,1830.0,1927.7,1768.6,1852.0,1.2021857923497268,153017540.0,21,7286549.523809524,11,9,0,159.10000000000014,0.08643741559604079,34.871428571428545,34.30476190476187,2026-06-23T00:00:00+05:30,2026-06-11T00:00:00+05:30,1847.3545,1870.424,1776.5549999999998,-1.3618677042801606,7.00389105058366,1914.0,1917.0,1896.7,1901.8,29.0,0.0,7862460.0
MARUTI,2026,6,,13200.0,14201.0,12700.0,14115.0,6.931818181818182,11184139.0,21,532578.0476190476,11,9,0,1501.0,0.11253802322094168,325.8095238095238,307.04761904761904,2026-06-30T00:00:00+05:30,2026-06-02T00:00:00+05:30,13382.955,13930.82,13120.28,-3.6947791164658637,7.265425337714494,13682.0,13841.0,13536.0,13695.0,24.0,0.0,458633.0
INDIGO,2026,6,,4525.0,5464.9,4350.0,5368.4,18.638674033149165,29363972.0,21,1398284.380952381,11,9,0,1114.8999999999996,0.23178495871254004,136.47619047619057,121.4047619047619,2026-06-25T00:00:00+05:30,2026-06-08T00:00:00+05:30,5314.388499999999,5464.9,4617.576,-4.501386365809344,16.818051438952097,5175.0,5248.0,5141.5,5229.5,26.0,0.0,659824.0
LT,2026,6,,4089.0,4272.3,3854.4,4143.4,1.3303986304719893,41459839.0,21,1974278.0476190476,10,10,0,417.9000000000001,0.10262314098681184,80.65238095238084,70.83809523809511,2026-06-25T00:00:00+05:30,2026-06-11T00:00:00+05:30,4190.8095,4272.3,3963.054,-8.751431844215354,1.8862161130202344,3895.0,3939.0,3875.6,3928.5,35.0,0.0,1744527.0
ULTRACEMCO,2026,6,,11507.0,11674.0,10706.0,11253.0,-2.2073520465803425,7022993.0,21,334428.2380952381,7,13,0,968.0,0.08643959688735807,212.47619047619048,202.61904761904762,2026-06-25T00:00:00+05:30,2026-06-11T00:00:00+05:30,11369.08,11548.16,11015.76,-0.8901564255466251,7.47558551551292,11600.0,11639.0,11535.0,11571.0,0.0,5.0,121301.0
TCS,2026,6,,2284.0,2457.4,2018.8,2031.5,-11.055166374781086,120106353.0,21,5719350.142857143,9,11,0,438.60000000000014,0.20193370165745864,67.17142857142858,58.2095238095238,2026-06-02T00:00:00+05:30,2026-06-30T00:00:00+05:30,2143.8010000000004,2255.6440000000002,2058.274,-12.647261058904427,7.458170983268396,2075.0,2204.9,2065.1,2181.5,133.0,0.0,12382479.0
NTPC,2026,6,,386.9,389.0,346.95,356.65,-7.818557766864824,326451282.0,21,15545299.142857144,9,10,1,42.05000000000001,0.11685424482423235,8.088095238095242,7.98571428571429,2026-06-01T00:00:00+05:30,2026-06-15T00:00:00+05:30,355.57025,364.611,349.473,-10.589907604832979,1.3646055437100246,345.05,355.0,343.7,351.75,7209.0,0.0,8224316.0
JSWSTEEL,2026,6,,1279.5,1320.2,1221.5,1226.4,-4.1500586166471205,30481523.0,21,1451501.0952380951,9,11,0,98.70000000000005,0.07743924081373411,26.028571428571468,25.180952380952423,2026-06-15T00:00:00+05:30,2026-06-30T00:00:00+05:30,1290.0965,1314.278,1254.071,-6.691449814126389,1.284952319379351,1235.2,1240.1,1220.4,1237.4,0.0,2.0,1403820.0
GRASIM,2026,6,,3151.4,3200.0,3034.9,3100.0,-1.6310211334644948,14434152.0,21,687340.5714285715,10,10,0,165.0999999999999,0.053006629077432976,57.30000000000003,55.152380952380945,2026-06-17T00:00:00+05:30,2026-06-08T00:00:00+05:30,3096.8125,3145.517,3074.524,-1.7714594663359033,3.479311770505362,3202.4,3216.3,3125.2,3144.3,0.0,248.0,654389.0
HDFCBANK,2026,6,,749.0,806.1,732.3,797.95,6.53538050734313,772354220.0,21,36778772.38095238,13,7,0,73.80000000000007,0.09588981766209025,15.8952380952381,14.271428571428574,2026-06-30T00:00:00+05:30,2026-06-09T00:00:00+05:30,786.543,806.1,749.274,1.4487438107463808,10.471300201723832,817.0,821.95,811.0,817.95,0.0,1840.0,21739649.0
TECHM,2026,6,,1495.2,1589.0,1344.0,1404.7,-6.052701979668272,56239931.0,21,2678091.9523809524,7,13,0,245.0,0.16759940322233877,47.40000000000003,43.67142857142858,2026-06-02T00:00:00+05:30,2026-06-19T00:00:00+05:30,1453.025,1513.05,1407.7,-5.616483881688269,10.667996011964108,1444.2,1524.8,1444.2,1504.5,36.0,0.0,2285062.0
HINDALCO,2026,6,,1130.0,1161.0,948.8,956.6,-15.34513274336283,149763728.0,21,7131606.095238095,7,13,0,212.20000000000005,0.20494966172865633,28.62380952380953,25.238095238095234,2026-06-02T00:00:00+05:30,2026-06-30T00:00:00+05:30,971.0809999999999,1042.168,948.8,-20.08067435486373,1.866887314474848,963.1,971.7,956.45,966.85,272.0,0.0,4070886.0
HINDUNILVR,2026,6,,2158.5,2224.6,2065.7,2118.2,-1.8670372944174278,31874860.0,21,1517850.4761904762,8,12,0,158.9000000000001,0.07398284397954052,41.338095238095235,39.87619047619048,2026-06-17T00:00:00+05:30,2026-06-02T00:00:00+05:30,2160.2455,2211.888,2110.192,-4.411902750398949,3.0460903032009807,2143.0,2143.0,2120.0,2130.6,327.0,0.0,1833976.0
POWERGRID,2026,6,,291.0,295.25,278.4,286.3,-1.6151202749140854,233297853.0,21,11109421.57142857,11,9,0,16.850000000000023,0.05872590428930628,5.7095238095238035,5.666666666666662,2026-06-24T00:00:00+05:30,2026-06-02T00:00:00+05:30,286.06674999999996,290.532,283.2865,-3.234265734265734,2.6573426573426655,282.8,286.45,281.65,286.0,0.0,2307.0,8080997.0
