symbol,year,month,quarter,open,high,low,close,percent_change,volume,trading_days,avg_daily_volume,up_days,down_days,unchanged_days,range,volatility,avg_true_range,avg_daily_range,highest_day,lowest_day,vpoc,vah,val,high_to_ltp_pct,low_to_ltp_pct,daily_open,daily_high,daily_low,ltp,day_buy_quantity,day_sell_quantity,day_volume
BHARTIARTL,2026,,2,1811.0,1953.8,1740.5,1852.0,2.2639425731639977,568045272.0,60,9467421.2,31,28,0,213.29999999999995,0.11569692071533565,38.725,37.804999999999986,2026-05-18T00:00:00+05:30,2026-05-13T00:00:00+05:30,1846.0835000000002,1891.943,1804.49,-1.739220995625904,9.367840033326395,1930.0,1930.0,1906.0,1920.4,0.0,0.0,6420841.0
MARUTI,2026,,2,12900.0,14201.0,12239.0,14115.0,9.41860465116279,30445849.0,60,507430.81666666665,32,27,0,1962.0,0.14788368794682621,340.7,309.9,2026-06-30T00:00:00+05:30,2026-04-02T00:00:00+05:30,13426.01,13651.64,12964.94,-2.5046917857658437,11.657283095134979,13800.0,13987.0,13776.0,13854.0,0.0,0.0,430136.0
INDIGO,2026,,2,4063.8,5464.9,3970.0,5368.4,32.10295782272748,86718367.0,60,1445306.1166666667,31,28,0,1494.8999999999996,0.32782151866441617,147.15333333333334,125.735,2026-06-25T00:00:00+05:30,2026-04-02T00:00:00+05:30,4455.8425,4717.45,4179.286,-2.8783885542168606,25.26355421686747,5260.0,5363.0,5260.0,5312.0,0.0,0.0,457997.0
LT,2026,,2,3655.0,4272.3,3470.0,4143.4,13.362517099863192,160019728.0,60,2666995.466666667,31,28,0,802.3000000000002,0.200377794853565,89.80999999999996,78.00833333333328,2026-06-25T00:00:00+05:30,2026-04-02T00:00:00+05:30,3931.3225,4127.886,3879.1730000000002,-8.274621116123472,12.058391200770444,3905.0,3953.8,3905.0,3945.8,0.0,0.0,1283746.0
ULTRACEMCO,2026,,2,10802.0,12282.0,10365.0,11253.0,4.1751527494908345,21412165.0,60,356869.4166666667,30,29,0,1917.0,0.16680709865576857,259.4,238.73333333333332,2026-04-28T00:00:00+05:30,2026-04-02T00:00:00+05:30,11505.615000000002,12071.130000000001,11265.99,-4.804164177830873,11.553886850413859,11584.0,11725.0,11584.0,11719.0,6201.0,10728.0,135114.0
TCS,2026,,2,2429.0,2614.0,2018.8,2031.5,-16.36475916014821,296053956.0,60,4934232.6,27,32,0,595.2,0.25489145058730245,62.45166666666669,56.253333333333345,2026-04-21T00:00:00+05:30,2026-06-30T00:00:00+05:30,2319.376,2560.432,2191.408,-26.341227646205894,2.426292895118417,2105.2,2133.3,2064.6,2069.0,0.0,0.0,6711644.0
NTPC,2026,,2,381.3,414.4,346.95,356.65,-6.4647259375819655,754141217.0,60,12569020.283333333,28,30,1,67.44999999999999,0.1774252946127946,8.955000000000004,8.73416666666667,2026-04-27T00:00:00+05:30,2026-06-15T00:00:00+05:30,355.38125,392.14149999999995,348.299,-20.272819619793925,-0.6965607313887613,344.5,348.8,343.2,344.55,0.0,0.0,13015558.0
JSWSTEEL,2026,,2,1141.9,1328.0,1106.4,1226.4,7.399947455994395,113495160.0,60,1891586.0,30,29,0,221.5999999999999,0.17590675460240388,28.005000000000013,26.716666666666693,2026-05-27T00:00:00+05:30,2026-04-02T00:00:00+05:30,1284.788,1312.488,1241.576,-6.495589414595028,11.275060144346424,1232.3,1259.0,1232.3,1247.0,56904.0,111283.0,1504033.0
GRASIM,2026,,2,2602.0,3200.0,2514.2,3100.0,19.1391237509608,51899699.0,60,864994.9833333333,35,24,0,685.8000000000002,0.23254565378457487,64.39500000000004,60.29166666666671,2026-06-17T00:00:00+05:30,2026-04-02T00:00:00+05:30,3127.991,3200.0,2809.094,0.42320139407517765,21.763754045307447,3204.8,3246.0,3202.0,3213.6,0.0,0.0,515663.0
HDFCBANK,2026,,2,743.0,820.05,726.65,797.95,7.395693135935404,2411336821.0,60,40188947.016666666,29,30,0,93.39999999999998,0.12043001509673189,17.713333333333328,15.687499999999996,2026-04-16T00:00:00+05:30,2026-04-02T00:00:00+05:30,787.827,810.7099999999999,755.6039999999999,0.5939753924480382,11.91587368931451,824.0,827.7,820.3,824.95,0.0,0.0,23592799.0
TECHM,2026,,2,1412.6,1589.0,1327.3,1404.7,-0.55925244230496,152672725.0,60,2544545.4166666665,28,31,0,261.70000000000005,0.1805240509035975,44.30333333333335,41.823333333333345,2026-06-02T00:00:00+05:30,2026-05-14T00:00:00+05:30,1454.2244999999998,1500.022,1403.193,-9.224635688754471,8.764091284025294,1448.0,1478.9,1445.3,1454.8,0.0,0.0,1732567.0
HINDALCO,2026,,2,909.0,1176.0,884.8,956.6,5.236523652365239,385347421.0,60,6422457.016666667,32,27,0,291.20000000000005,0.2805442288285208,29.263333333333353,26.526666666666674,2026-05-29T00:00:00+05:30,2026-04-02T00:00:00+05:30,1037.6799999999998,1082.816,954.688,-21.43115287314781,8.637513552584036,976.0,985.6,964.7,968.45,88996.0,145709.0,5858481.0
HINDUNILVR,2026,,2,2119.9,2408.0,2022.5,2118.2,-0.08019246190859346,124118669.0,60,2068644.4833333334,27,32,0,385.5,0.17519594981503306,53.3116666666667,51.458333333333364,2026-04-22T00:00:00+05:30,2026-04-02T00:00:00+05:30,2159.3525,2261.51,2068.76,-12.104283054003725,5.842644320297952,2151.5,2178.0,2145.0,2148.0,43401.0,71783.0,1664664.0
